,Company Name,State,Rating,Date,Time,Url,pizza_name_yn,name_length,basketball_season_yn,football_season_yn,baseball_season_yn,season,Days_Since,Last_Score,Three_Day_Avg,Ten_Day_Avg,num_yelp_reviews,yelp_rating,yelp_est_price,Zip
34,Reservoir Tavern,NJ,7.6,2020-06-24,6:00,https://onebite.app/restaurant/reservoir-tavern-boonton-nj-c1894ae7/review/b850e2e4-7fb0-4ccb-9db8-b16b51e59ddd,0,16,0,0,1,summer,1.0,6.7,7.3,7.389999999999999,281.0,3.5,2.0, 07005
35,Millie's Old World Meatballs & Pizza,NJ,6.7,2020-06-23,6:00,https://onebite.app/restaurant/millies-old-world-meatballs-and-pizza-morristown-nj-d889186b/review/20303082-be46-48a4-9973-e65a0a67acf2,1,36,0,0,1,summer,1.0,7.5,7.333333333333333,7.44,490.0,3.5,2.0, 07960
36,Renzo's Cafe Pizzeria,FL,7.5,2020-06-22,6:00,https://onebite.app/restaurant/renzos-cafe-pizzeria-boca-raton-fl-53785968/review/82335415-9148-40af-8570-d94573eb541d,0,21,0,0,1,summer,1.0,7.7,7.366666666666667,7.4,78.0,4.0,2.0, 33496
37,Nonna's,NJ,7.7,2020-06-21,12:0,https://onebite.app/restaurant/nonnas-florham-park-nj-1458955c/review/bb082c1a-3abf-4644-8d17-ee636eb36289,0,7,0,0,1,summer,2.0,6.8,7.233333333333333,7.370000000000002,385.0,4.0,2.0, 07932
38,Brooklyn Boys Pizza & Pasta,FL,6.8,2020-06-19,6:00,https://onebite.app/restaurant/brooklyn-boys-pizza-and-pasta-boca-raton-fl-ed8a685a/review/5275fcdd-f986-4abf-83fd-135b11ba1c14,1,27,0,0,1,spring,1.0,7.6,7.599999999999999,7.5,136.0,3.5,1.0, 33434
39,Pizza District,FL,7.6,2020-06-18,6:00,https://onebite.app/restaurant/pizza-district-boca-raton-fl-1beaf619/review/37e6f46f-29f8-4be1-8b48-d1b4cba4adb3,1,14,0,0,1,spring,1.0,7.3,7.633333333333333,7.55,162.0,4.5,2.0, 33433
40,Tomasso's Pizza and Subs,FL,7.3,2020-06-17,6:00,https://onebite.app/restaurant/tomassos-pizza-and-subs-boca-raton-fl-4369d5e2/review/d8bbdc27-0ddb-4b47-a529-a0ab9714364c,1,24,0,0,1,spring,1.0,7.9,7.400000000000001,7.49,125.0,3.5,1.0, 33486
41,Sicilian Oven,FL,7.9,2020-06-16,6:00,https://onebite.app/restaurant/sicilian-oven-boca-raton-fl-71edf231/review/3aff258b-b2ca-405d-a63d-02c23956d0e4,0,13,0,0,1,spring,1.0,7.7,7.466666666666666,7.2299999999999995,201.0,4.0,2.0, 33431
42,Nick's New Haven Style Pizzeria and Bar,FL,7.7,2020-06-15,6:00,https://onebite.app/restaurant/nicks-new-haven-style-pizzeria-and-bar-boca-raton-fl-d4bbce15/review/2015a73c-e657-4189-9ebb-dc85cc5a3515,0,39,1,0,1,spring,4.0,6.6,7.3,7.24,287.0,3.5,2.0, 33431
43,Sazio,FL,6.6,2020-06-11,6:00,https://onebite.app/restaurant/sazio-delray-beach-fl-d5158602/review/766a4745-d132-44fc-9418-c8ffa1609015,0,5,1,0,1,spring,1.0,8.1,7.466666666666666,7.26,236.0,4.0,2.0, 33444
44,Heritage,FL,8.1,2020-06-10,6:00,https://onebite.app/restaurant/heritage-fort-lauderdale-fl-305ce530/review/032e8a6c-005a-4064-aa9a-b5ec296b9cc8,0,8,1,0,1,spring,1.0,7.2,7.233333333333334,7.33,74.0,4.5,2.0, 33304
46,Nick's Pizza,FL,7.1,2020-06-08,6:00,https://onebite.app/restaurant/nicks-pizza-deerfield-beach-fl-682acbac/review/7e4f397a-c520-4bed-b28a-0bc7462c680e,1,12,1,0,1,spring,3.0,7.4,7.866666666666667,7.32,98.0,4.0,1.0, 33441
47,Pizza Time Ristorante,FL,7.4,2020-06-05,6:00,https://onebite.app/restaurant/pizza-time-ristorante-boca-raton-fl-ec420a66/review/8015fe53-ebb9-41d7-b02c-68fa0c3768cf,1,21,1,0,1,spring,1.0,8.1,7.633333333333333,7.3,239.0,4.0,2.0, 33432
48,Pizza Craft Artisan Pizzeria,FL,8.1,2020-06-04,6:00,https://onebite.app/restaurant/pizza-craft-artisan-pizzeria-fort-lauderdale-fl-4892d456/review/808d35e5-f4af-4c2e-85f5-d456fbb3cd82,1,28,1,0,1,spring,1.0,8.1,6.7,7.369999999999999,411.0,4.0,2.0, 33312
49,Tucci's Fire N Coal Pizza,FL,8.1,2020-06-03,6:00,https://onebite.app/restaurant/tuccis-fire-n-coal-pizza-boca-raton-fl-16c3868d/review/8fe87744-959e-4d2d-892d-9e2c5a01b51b,1,25,1,0,1,spring,2.0,6.7,6.6000000000000005,7.19,367.0,4.0,2.0, 33432
50,Franco & Vinny's,FL,6.7,2020-06-01,6:00,https://onebite.app/restaurant/franco-and-vinnys-fort-lauderdale-fl-bd079ba6/review/612ae256-a287-4eeb-b0c5-5c086d5b7ccd,0,16,1,0,1,spring,4.0,5.3,6.633333333333333,7.38,240.0,4.0,2.0, 33304
51,Primanti Bros,FL,5.3,2020-05-28,6:00,https://onebite.app/restaurant/primanti-bros-fort-lauderdale-fl-099ce218/review/b52f6627-b2e0-434a-a56f-936008e1dfbd,0,13,1,0,1,spring,1.0,7.8,7.8,7.63,694.0,4.0,1.0, 33304
52,Luigi's Coal Oven Pizza,FL,7.8,2020-05-27,6:00,https://onebite.app/restaurant/luigis-coal-oven-pizza-fort-lauderdale-fl-e1e8c57a/review/6da59164-4ebd-407d-8e3a-c497feca9607,1,23,1,0,1,spring,70.0,6.8,7.466666666666668,7.660000000000001,419.0,4.0,2.0, 33301
53,Pizza Time Restaurant,NJ,6.8,2020-03-18,6:02,https://onebite.app/restaurant/pizza-time-restaurant-avenel-nj-7f8a1f86/review/bed1010b-2fe4-4a08-8739-22fdbc06fbf2,1,21,1,0,0,winter,1.0,8.8,7.666666666666667,7.739999999999999,64.0,3.5,1.0, 07001
54,Nancy's Towne House,NJ,8.8,2020-03-17,6:00,https://onebite.app/restaurant/nancys-towne-house-rahway-nj-3091ce71/review/e387fbe3-3374-40a2-8b76-d6d98b7ee380,0,19,1,0,0,winter,1.0,6.8,7.133333333333333,7.529999999999999,139.0,4.0,2.0, 07065
